,SMILES
0,CCCCNCCC
1,Nc1ccccc1[N+](=O)[O-]
2,CN(C)c1cccc2ccccc12
3,CNC(=O)N(C)C(=O)Nc1cc(-c2ccccc2)ccc1F
4,Cc1ccnc(Nc2sc(-c3ccccc3)cc2C(N)=O)c1
5,COC(=O)c1cc(S(N)(=O)=O)ccc1S(=O)(=O)CCCO
6,Cc1nn(C)c(C)c1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1
7,CC1=CC(=O)C(C)=C(C)C1=O
8,C=CC(C)(CCC=C(C)C)OC(C)=O
9,CC1CCCC(C)N1
10,Cc1c(C(N)=O)no[n+]1[O-]
11,CC(=O)Oc1c[nH]c2ccccc12
12,CS(=O)(=O)CC(=O)CN=O
13,N#Cc1cccc2cccnc12
14,O=C(CN1CCCCC1)Nc1ccc(I)cc1
15,COc1cc(OC)n2nc(S(=O)(=O)Nc3c(Cl)ccc(C)c3Cl)nc2n1
16,CCCCCOC1CCC(NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1
17,COc1cccc(S(C)(=O)=O)c1
18,CCOc1ccccc1OCc1ccccc1CCCN1CCC(O)CC1
19,CN(C)CCN(Cc1ccc(C(C)(C)C)cc1)c1ccccc1
20,CCOc1ccccc1NC(=O)OC1CCCCC1CN(C)C
21,O=C1CC(Sc2ccc3ccccc3c2)N1
22,CCC(C)c1cccc(C(C)CC)c1O
23,CCC(CC)C(=O)Nc1cc(C)ccc1S(N)(=O)=O
24,CC(C)(C)NC(=O)COC(=O)c1ccccc1
25,CC1(C)CC(OP(=S)(N2CC2)N2CC2)CC(C)(C)N1O
26,COc1ccc(C=O)cc1OC
27,CCCCN(CC)N=O
28,Nc1nnnn1-c1cccc(F)c1
29,Nc1ccc(O)cc1
30,FC(F)(F)c1nc2c(Cl)c(Cl)c(Cl)cc2[nH]1
31,Cc1ccc(C)c(C)c1
32,CCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1
33,CN(C)N=Nc1cccc([N+](=O)[O-])c1
34,CCN(C=Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1)CC
35,CN(C)C1CCC(n2cc(C(N)=O)c(Nc3ccc(OC(F)(F)F)cc3)n2)C(C#N)C1
36,CCCNc1cc(-c2nnc(N)[nH]2)ccn1
37,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
38,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC=O
39,O=C1CN=C(c2ccccc2)c2cc(F)ccc2N1
40,Nc1cc(S(N)(=O)=O)ccc1S(=O)(=O)CCO
41,CCCCN(C)N=O
42,CCC(O)CC
43,Brc1ccsc1Br
44,Cc1[nH]c(N)cc2nc3ccccc3c1-2
45,CN(c1[nH]cnc2nccc1-2)C1CCC(CS(=O)(=O)N2CCC(O)C(O)C2)CC1
46,O=C(O)c1ccccc1O
47,O=[N+]([O-])c1nccn1CC(O)COCC(F)(F)F
48,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
49,ClC(Cl)=C(Cl)Cl
50,NC(=O)c1cccnc1
51,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1N1CCc2nc(Nc3ccc(CC(=O)N4CCN(C)CC4)cc3)ncc2C1=O
52,COP(=O)(NC(C)(C)C)SC
53,COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC
54,CNC(=O)Oc1cc(C(C)C)cc(C(C)C)c1
55,Clc1ccc(-c2cc3ccccn3c2)cc1
56,CCOc1ccc(C=CC(C)=O)cc1
57,COc1ccc(CCNCC(O)COc2ccc(-c3nc(C(C)(C)C)c[nH]3)cc2)cc1OC
58,CC1=NCCC1
59,N#CC1CCCCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)NCc3ccccn3)cc2)n1
60,CCC1=Nc2ccc(Cl)cc2S(=O)(=O)N1
61,CC(=O)N(C)C1=NC(=O)C(=Cc2ccc([N+](=O)[O-])o2)S1
62,CC1(C)C2Cc3ssc(=S)c3C1C2
63,c1ccc(Cc2ccncc2)cc1
64,Clc1cccc(N2CCN(CCn3nnc4ccccc43)CC2)c1
65,CC(C)N(C)N=Nc1ccc(C(N)=O)cc1
66,c1csc(-c2ccc(-c3cccs3)s2)c1
67,COc1cccc(-c2cc(C(N)=O)c3[nH]c4cc(C(=O)NCCN(C)C)ccc4c3c2)c1
68,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c(Cl)c1
69,CC(=O)OCC1CCC(NC(=O)N(CCCl)N=O)CC1
70,Cc1ccc(Cl)cc1[N+](=O)[O-]
71,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2
72,Cc1ssc(=O)c1-c1ccccc1
73,Cc1cc2ncccc2c2nc(N)n(C)c12
74,CC(=O)c1ccc2cc(C(C)C(=O)OCC(=O)N(C)C)ccc2c1
75,N=C(N)NN=Cc1ccc(Br)cc1
76,CCOP(=O)(OCC)C(C)(C)[N+]([O-])=Cc1cc[n+]([O-])cc1
77,CC(C)(C(=O)O)n1nnc2ccccc21
78,CN1CCN(C(=O)c2ccc3c(c2)[nH]c2c(C(N)=O)ccc(-c4ccccc4F)c23)CC1
79,c1ccc2ocnc2c1
80,O=C(CN1CCCCC1)Nc1ccccc1F
81,CNC(=O)ON=C1CSCS1
82,CC(=O)Nc1ccc(Cl)cc1Cl
83,O=C(Cc1ccccc1)Nc1ccc(Cl)c(Cl)c1
84,COc1ccc(C=[N+]([O-])C(C)(C)C)cc1
85,NC1=NC(C(F)(F)F)(C(F)(F)F)NC1(C(F)(F)F)C(F)(F)F
86,CC(=O)Nc1cccc(-c2ccc(C(N)=O)c3[nH]c4cc(C(=O)N5CCN(C)CC5)ccc4c23)c1C
87,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
88,CCCCCCCCCCCCN1CC(C(=O)OC)CC1=O
89,NS(=O)(=O)c1cc2c(s1)C(O)CCS2=O
90,Cc1cnc(C2=NC(=O)C(C)(C(C)C)N2)c(C(=O)O)c1
91,O=C1CCC(=O)N1c1c(Cl)cccc1Cl
92,CCCCOCc1ccccc1NC(=O)OCCN1CCCCC1
93,CN(C)C(=O)CCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C
94,CCOC(=O)CNC(=O)c1cn(CC)c2nc(C)ccc2c1=O
95,CC(=O)C=CC1C(C)=CCCC1(C)C
96,Nc1nc(N)nc(-c2ccc([N+](=O)[O-])cc2)n1
97,NC1=NCC(COc2ccc(Cl)cc2)O1
98,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
99,CCCCCCCNc1ncnc2nc[nH]c12
100,Oc1ccc2c(c1)CCCC2
101,CCOc1ccc(C(=O)OCCCn2ccc(=O)c(O)c2C)cc1
102,Nc1nnnn1-c1ccc(Br)cc1
103,S=C=Nc1ccc(-c2ccccc2)cc1
104,COc1ccccc1N1C(=O)CCC1=O
105,CCCCc1csc(-c2ccc(C(C)C(=O)O)cc2)n1
106,CC(C)(C)NSc1nc2ccccc2s1
107,COC(=O)c1c[nH]c(C)c1
108,COc1ccccc1CNc1cccn2nc(Nc3ccc(C)nc3)nc12
109,Clc1cc(Cl)c(Oc2ccccc2)c(Cl)c1
110,CCCCOc1ccc([N+](=O)[O-])cc1
111,CC(C)(C)C(=O)NN
112,c1cncc(CNc2cccn3nc(NCCN4CCOCC4)nc23)c1
113,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1
114,O=C(O)c1cn(-c2ccc(O)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O
115,COP(N)(=S)Oc1ccccc1C(=O)OC(C)C
116,Cc1cccc(Nc2sc(-c3cccc(F)c3)cc2C(N)=O)n1
117,Oc1ccc(Nc2ccccc2)cc1
118,CN1C(=O)CN=C(c2ccccc2F)c2cc(I)ccc21
119,Clc1ccc(Br)cc1NC1=NCCN1
120,Cc1nc(Br)n(C)c1[N+](=O)[O-]
121,NC(=O)Cc1ccc(O)cc1
122,N#Cc1cccc(OCC(=O)O)c1
123,COc1ccc(C=CNC=O)cc1
124,Oc1cccc2ncccc12
125,CCN(CC)P(=O)(N(CC)CC)N1CCCC1
126,NC(=O)CCc1cccnc1
127,Nc1ncccn1
128,O=Cc1cccnc1
129,CCOC(=O)c1ccco1
130,NC(=O)c1cc2ccccc2[nH]1
131,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2=O
132,COC1CCN(c2nccc(Nc3cc4nc(-c5cn[nH]c5)cc-4c[nH]3)n2)CC1
133,CN(c1[nH]cnc2nccc1-2)C1CCC(CS(=O)(=O)N2CC(F)C(CO)C2)CC1
134,CC1=CCC2CC1C2(C)C
135,Cc1cc(C)c(C)c(C)c1
136,COc1ccccc1N(C)C
137,COc1ccc(C=C2C(=O)NC(=S)NC2=O)cc1
138,CN(C)C(=O)Oc1cccc(N(C)C)c1
139,CCC(C)C1=Nc2ccc(Cl)cc2S(=O)(=O)N1
140,S=c1cc[nH]cc1
141,CN(C)N=Nc1ccc2oc3ccccc3c2c1
142,CN(C)C(=O)COC(=O)c1ccccc1
143,O=C(CCCCN1CC=CCOCc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1)NO
144,CC1NC(=Nc2ncc([N+](=O)[O-])s2)OC1(C)C
145,Cc1ccccc1C(C)C
146,CON(C)C(=O)Nc1ccc(OCCc2ccc(C)cc2)cc1
147,OC1(c2ccc(Cl)cc2)CCCCCC1n1cncn1
148,N#CCc1ccc(O)c2ncccc12
149,N#CC1CC(O)CCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)F)cc2)n1
150,COc1ccc(C(=O)CS(=O)(=O)c2ccccc2)cc1
151,CCCOc1ccc(NC(=O)OCCN2CCCCC2)cc1
152,CC(C)CS(=O)(=O)NC1CC(N(C)c2[nH]cnc3nccc2-3)C1
153,CC(=O)N(c1ccccc1)c1ccc(C)cc1
154,Cc1oc2cc3oc(=O)ccc3c(C)c2c1C
155,c1ccccc1
156,Nc1ccc(Cc2ccc(N)cc2)cc1
157,Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O
158,CS(=O)c1sccc1Br
159,N#Cc1ccco1
160,CC(=O)NNC(=O)c1ccccc1N(C)C
161,CN1C(=O)CN=C(c2ccccc2)c2cc(N)ccc21
162,c1ccc2c(c1)OCC(Cc1nc3ccccc3[nH]1)O2
163,CCCCC(C)N=C=S
164,O=P(O)(O)CN(CP(=O)(O)O)CP(=O)(O)O
165,Cc1cccc(C(=O)N(C)C)c1
166,Cc1cccc(Cl)c1C(=O)O
167,CC(C)c1ccc2c(c1)CCC1C(C)(C(=O)O)CCCC21C
168,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
169,COC(=O)c1ccccc1N
170,OCCCCCc1cccnc1
