,Ligand SMILES,IC50 (nM)
7,[Na+].CC(C)c1c(\C=C\[C@H](O)C[C@@H](O)CC([O-])=O)c(cn1C1CCCCC1)-c1ccc(F)cc1, 0.106
8,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(=O)NCc1ccc(cc1)C#N)-c1ccccc1)-c1ccc(F)cc1, 0.2
10,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(=O)Nc1cccc(c1)C(=O)N(C)C)-c1ccc(F)cc1)-c1ccc(F)cc1, 0.3
11,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c2CCCN(c3ccccc3)C(=O)c12)-c1ccc(F)cc1, 0.3
12,COC(=O)C[C@H](O)C[C@H](O)\C=C\n1c(C(C)C)c(Br)c(c1-c1ccc(F)cc1)-c1ccc(F)cc1, 0.300000
13,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(=O)Nc1ccc(cc1)C(O)=O)-c1ccccc1)-c1ccc(F)cc1, 0.3
14,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(=O)Nc1ccc(cc1)C(N)=O)-c1ccccc1)-c1ccc(F)cc1, 0.3
15,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(=O)Nc1ccc(O)cc1)-c1ccccc1)-c1ccc(F)cc1, 0.4
16,CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)N(C)c1nnnn1C, 0.5
17,COC(=O)C[C@H](O)C[C@H](O)\C=C\n1c(cc(c1-c1ccc(F)cc1)-c1cccc(Br)c1)C(C)C, 0.500000
20,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(=O)NCc1cc(C)n(C)n1)-c1ccccc1)-c1ccc(F)cc1, 0.6
21,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(=O)Nc1cccc(O)c1)-c1ccc(F)cc1)-c1ccc(F)cc1, 0.7
22,COCc1ccc(CNC(=O)c2c(c(c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n2C(C)C)-c2ccc(F)cc2)-c2ccccc2)cc1, 0.7
23,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(=O)NCc1ccccn1)-c1ccccc1)-c1ccc(F)cc1, 0.8
24,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(=O)NCc1ccccc1)-c1ccccc1)-c1ccc(F)cc1, 0.8
25,COc1ccc(CNC(=O)c2c(c(c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n2C(C)C)-c2ccc(F)cc2)-c2ccccc2)cc1, 0.8
26,CCn1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(C)c1C(=O)NCc1ccc(cc1)C([O-])=O)-c1ccc(F)cc1, 0.85
